"subject" "radius" "number" "durationTest" "sample" "tf" "psesample"
"164" "AB" 2 1 56 12 1.55900224505666 1.08684389174382
"165" "AB" 2 1 56 12 1.59154943091895 1.09198697228605
"166" "AB" 2 1 56 12 1.99890650776266 1.15635721506272
"167" "AB" 2 1 56 12 2.52244669306345 1.2028330830003
"168" "AB" 2 1 56 12 3.11800449011332 1.25570212018602
"169" "AB" 2 1 56 13 0.316797914224418 0.964831630679214
"170" "AB" 2 1 56 13 0.397887357729738 0.96483601792721
"171" "AB" 2 1 56 13 0.50213384545493 0.96484165805957
"172" "AB" 2 1 56 13 0.630611673265862 0.997228157808153
"173" "AB" 2 1 56 13 0.633595828448835 0.997980399208321
"174" "AB" 2 1 56 13 0.795774715459477 1.03886221183614
"175" "AB" 2 1 56 13 0.99945325388133 1.07267609092033
"176" "AB" 2 1 56 13 1.00426769090986 1.07347536409266
"177" "AB" 2 1 56 13 1.26122334653172 1.1161340925798
"178" "AB" 2 1 56 13 1.55900224505666 1.12564960575581
"179" "AB" 2 1 56 13 1.59154943091895 1.12668964982021
"180" "AB" 2 1 56 13 1.99890650776266 1.13970672944286
"181" "AB" 2 1 56 13 2.52244669306345 1.2093880165139
"182" "AB" 2 1 56 13 3.11800449011332 1.28865458475219
"183" "AB" 2 1 56 14 0.316797914224418 0.924115053830357
"184" "AB" 2 1 56 14 0.397887357729738 0.949540881983882
"185" "AB" 2 1 56 14 0.50213384545493 0.982227667931987
"186" "AB" 2 1 56 14 0.630611673265862 1.01304261489086
"187" "AB" 2 1 56 14 0.633595828448835 1.0137583538261
"188" "AB" 2 1 56 14 0.795774715459477 1.05265637916037
"189" "AB" 2 1 56 14 0.99945325388133 1.08664065816233
"190" "AB" 2 1 56 14 1.00426769090986 1.08744395915065
"191" "AB" 2 1 56 14 1.26122334653172 1.13031765983333
"192" "AB" 2 1 56 14 1.55900224505666 1.13384052919861
"193" "AB" 2 1 56 14 1.59154943091895 1.13422557825537
"194" "AB" 2 1 56 14 1.99890650776266 1.13904481082641
"195" "AB" 2 1 56 14 2.52244669306345 1.17576234380558
"196" "AB" 2 1 56 14 3.11800449011332 1.21753070021478
"197" "AB" 2 1 56 15 0.316797914224418 0.971578785502354
"198" "AB" 2 1 56 15 0.397887357729738 0.969144078889175
"199" "AB" 2 1 56 15 0.50213384545493 0.966014083145049
"200" "AB" 2 1 56 15 0.630611673265862 0.989591399922841
"201" "AB" 2 1 56 15 0.633595828448835 0.990139030383768
"202" "AB" 2 1 56 15 0.795774715459477 1.0199009205003
"203" "AB" 2 1 56 15 0.99945325388133 1.04788198605542
"204" "AB" 2 1 56 15 1.00426769090986 1.04854338651101
"205" "AB" 2 1 56 15 1.26122334653172 1.08384358603336
"206" "AB" 2 1 56 15 1.55900224505666 1.12528482300566
"207" "AB" 2 1 56 15 1.59154943091895 1.12981434356196
"208" "AB" 2 1 56 15 1.99890650776266 1.18650533556122
"209" "AB" 2 1 56 15 2.52244669306345 1.19179042191609
"210" "AB" 2 1 56 15 3.11800449011332 1.19780251893385
"211" "AB" 2 1 56 16 0.316797914224418 0.953615620370345
"212" "AB" 2 1 56 16 0.397887357729738 0.9631095419449
"213" "AB" 2 1 56 16 0.50213384545493 0.975314681554975
"214" "AB" 2 1 56 16 0.630611673265862 1.01875272790704
"215" "AB" 2 1 56 16 0.633595828448835 1.01976166363835
"216" "AB" 2 1 56 16 0.795774715459477 1.07459395751602
"217" "AB" 2 1 56 16 0.99945325388133 1.09362639863178
"218" "AB" 2 1 56 16 1.00426769090986 1.09407627661088
"219" "AB" 2 1 56 16 1.26122334653172 1.11808711949535
"220" "AB" 2 1 56 16 1.55900224505666 1.13514395261266
"221" "AB" 2 1 56 16 1.59154943091895 1.13700826173745
"222" "AB" 2 1 56 16 1.99890650776266 1.160341754182
"223" "AB" 2 1 56 16 2.52244669306345 1.16226242138649
"224" "AB" 2 1 56 16 3.11800449011332 1.164447293458
"225" "AB" 2 1 56 17 0.316797914224418 0.947574987315414
"226" "AB" 2 1 56 17 0.397887357729738 0.952064502459081
"227" "AB" 2 1 56 17 0.50213384545493 0.957836106814532
"228" "AB" 2 1 56 17 0.630611673265862 0.994984057653631
"229" "AB" 2 1 56 17 0.633595828448835 0.995846893303347
"230" "AB" 2 1 56 17 0.795774715459477 1.04273913474657
"231" "AB" 2 1 56 17 0.99945325388133 1.07307003434385
"232" "AB" 2 1 56 17 1.00426769090986 1.07378697883521
"233" "AB" 2 1 56 17 1.26122334653172 1.11205166912614
"234" "AB" 2 1 56 17 1.55900224505666 1.11801077347432
"235" "AB" 2 1 56 17 1.59154943091895 1.11866210262408
"236" "AB" 2 1 56 17 1.99890650776266 1.12681406819284
"237" "AB" 2 1 56 17 2.52244669306345 1.16254455457925
"238" "AB" 2 1 56 17 3.11800449011332 1.2031900873526
"239" "AB" 2 1 56 18 0.316797914224418 0.922133673922303
"240" "AB" 2 1 56 18 0.397887357729738 0.939818280232609
"241" "AB" 2 1 56 18 0.50213384545493 0.962553151936732
"242" "AB" 2 1 56 18 0.630611673265862 0.999184041613655
"243" "AB" 2 1 56 18 0.633595828448835 1.00003486748103
"244" "AB" 2 1 56 18 0.795774715459477 1.0462744172869
"245" "AB" 2 1 56 18 0.99945325388133 1.06985001815831
"246" "AB" 2 1 56 18 1.00426769090986 1.07040728475442
"247" "AB" 2 1 56 18 1.26122334653172 1.10014966225541
"248" "AB" 2 1 56 18 1.55900224505666 1.1105105239204
"249" "AB" 2 1 56 18 1.59154943091895 1.1116429644391
"250" "AB" 2 1 56 18 1.99890650776266 1.12581646814383
"251" "AB" 2 1 56 18 2.52244669306345 1.16848700758723
"252" "AB" 2 1 56 18 3.11800449011332 1.21702725947876
"253" "AB" 2 1 56 19 0.316797914224418 0.911820250675483
"254" "AB" 2 1 56 19 0.397887357729738 0.939367303100585
"255" "AB" 2 1 56 19 0.50213384545493 0.974781080016075
"256" "AB" 2 1 56 19 0.630611673265862 1.01748027569188
"257" "AB" 2 1 56 19 0.633595828448835 1.01847205013464
"258" "AB" 2 1 56 19 0.795774715459477 1.07237168518406
"259" "AB" 2 1 56 19 0.99945325388133 1.09985968627264
"260" "AB" 2 1 56 19 1.00426769090986 1.10050943195182
"261" "AB" 2 1 56 19 1.26122334653172 1.13518759390338
"262" "AB" 2 1 56 19 1.55900224505666 1.14227790597923
"263" "AB" 2 1 56 19 1.59154943091895 1.14305287595224
"264" "AB" 2 1 56 19 1.99890650776266 1.15275231676364
"265" "AB" 2 1 56 19 2.52244669306345 1.17998614917137
"266" "AB" 2 1 56 19 3.11800449011332 1.21096623759506
"267" "AB" 2 1 56 20 0.316797914224418 0.973269421969303
"268" "AB" 2 1 56 20 0.397887357729738 0.982864884690001
"269" "AB" 2 1 56 20 0.50213384545493 0.995200562966856
"270" "AB" 2 1 56 20 0.630611673265862 1.02008270819152
"271" "AB" 2 1 56 20 0.633595828448835 1.02066064590965
"272" "AB" 2 1 56 20 0.795774715459477 1.05206963443109
"273" "AB" 2 1 56 20 0.99945325388133 1.07405023200895
"274" "AB" 2 1 56 20 1.00426769090986 1.07456979682764
"275" "AB" 2 1 56 20 1.26122334653172 1.10229995880416
"276" "AB" 2 1 56 20 1.55900224505666 1.13400931768828
"277" "AB" 2 1 56 20 1.59154943091895 1.13747514552997
"278" "AB" 2 1 56 20 1.99890650776266 1.18085307394468
"279" "AB" 2 1 56 20 2.52244669306345 1.19026804008256
"280" "AB" 2 1 56 20 3.11800449011332 1.20097811860146
"281" "AB" 2 1 56 21 0.316797914224418 0.935178429585872
"282" "AB" 2 1 56 21 0.397887357729738 0.962109390787891
"283" "AB" 2 1 56 21 0.50213384545493 0.996731136788525
"284" "AB" 2 1 56 21 0.630611673265862 1.01705328865096
"285" "AB" 2 1 56 21 0.633595828448835 1.01752531137926
"286" "AB" 2 1 56 21 0.795774715459477 1.0431781732533
"287" "AB" 2 1 56 21 0.99945325388133 1.07147767400631
"288" "AB" 2 1 56 21 1.00426769090986 1.07214660145135
"289" "AB" 2 1 56 21 1.26122334653172 1.10784853070764
"290" "AB" 2 1 56 21 1.55900224505666 1.1184222604139
"291" "AB" 2 1 56 21 1.59154943091895 1.11957796737538
"292" "AB" 2 1 56 21 1.99890650776266 1.13404267137494
"293" "AB" 2 1 56 21 2.52244669306345 1.17933685608254
"294" "AB" 2 1 56 21 3.11800449011332 1.23086165899358
"295" "AB" 2 1 56 22 0.316797914224418 0.917747102221591
"296" "AB" 2 1 56 22 0.397887357729738 0.951313390841364
"297" "AB" 2 1 56 22 0.50213384545493 0.994465341863841
"298" "AB" 2 1 56 22 0.630611673265862 1.01643453413341
"299" "AB" 2 1 56 22 0.633595828448835 1.01694481267792
"300" "AB" 2 1 56 22 0.795774715459477 1.04467675064347
"301" "AB" 2 1 56 22 0.99945325388133 1.0803403416764
"302" "AB" 2 1 56 22 1.00426769090986 1.08118333728393
"303" "AB" 2 1 56 22 1.26122334653172 1.12617561524655
"304" "AB" 2 1 56 22 1.55900224505666 1.13524181878525
"305" "AB" 2 1 56 22 1.59154943091895 1.13623275337834
"306" "AB" 2 1 56 22 1.99890650776266 1.14863518414119
"307" "AB" 2 1 56 22 2.52244669306345 1.16949320215553
"308" "AB" 2 1 56 22 3.11800449011332 1.19322042617428
"309" "AB" 2 1 56 23 0.316797914224418 0.936291511821388
"310" "AB" 2 1 56 23 0.397887357729738 0.931391919633325
"311" "AB" 2 1 56 23 0.50213384545493 0.925093130853773
"312" "AB" 2 1 56 23 0.630611673265862 0.96021297042482
"313" "AB" 2 1 56 23 0.633595828448835 0.961028699123435
"314" "AB" 2 1 56 23 0.795774715459477 1.00536083479751
"315" "AB" 2 1 56 23 0.99945325388133 1.03262695633033
"316" "AB" 2 1 56 23 1.00426769090986 1.03327145734722
"317" "AB" 2 1 56 23 1.26122334653172 1.06766970170333
"318" "AB" 2 1 56 23 1.55900224505666 1.09073058074075
"319" "AB" 2 1 56 23 1.59154943091895 1.09325113112191
"320" "AB" 2 1 56 23 1.99890650776266 1.12479806853306
"321" "AB" 2 1 56 23 2.52244669306345 1.15850547135543
"322" "AB" 2 1 56 23 3.11800449011332 1.19684962741601
"323" "AB" 2 1 56 24 0.316797914224418 0.938774840810516
"324" "AB" 2 1 56 24 0.397887357729738 0.967523457241024
"325" "AB" 2 1 56 24 0.50213384545493 1.00448193371204
"326" "AB" 2 1 56 24 0.630611673265862 1.03496856294312
"327" "AB" 2 1 56 24 0.633595828448835 1.03567667604077
"328" "AB" 2 1 56 24 0.795774715459477 1.07416026252138
"329" "AB" 2 1 56 24 0.99945325388133 1.10694226454052
"330" "AB" 2 1 56 24 1.00426769090986 1.1077171467918
"331" "AB" 2 1 56 24 1.26122334653172 1.14907408545943
"332" "AB" 2 1 56 24 1.55900224505666 1.16159191513557
"333" "AB" 2 1 56 24 1.59154943091895 1.16296011191203
"334" "AB" 2 1 56 24 1.99890650776266 1.18008431557642
"335" "AB" 2 1 56 24 2.52244669306345 1.21013665810814
"336" "AB" 2 1 56 24 3.11800449011332 1.24432296780679
"337" "AB" 2 1 56 25 0.316797914224418 0.909389447203025
"338" "AB" 2 1 56 25 0.397887357729738 0.930551485048057
"339" "AB" 2 1 56 25 0.50213384545493 0.957756852640787
"340" "AB" 2 1 56 25 0.630611673265862 0.974651221130137
"341" "AB" 2 1 56 25 0.633595828448835 0.975043626715984
"342" "AB" 2 1 56 25 0.795774715459477 0.996369562288171
"343" "AB" 2 1 56 25 0.99945325388133 1.04784550401063
"344" "AB" 2 1 56 25 1.00426769090986 1.04906226293784
"345" "AB" 2 1 56 25 1.26122334653172 1.11400299973089
"346" "AB" 2 1 56 25 1.55900224505666 1.12242032811548
"347" "AB" 2 1 56 25 1.59154943091895 1.12334034075826
"348" "AB" 2 1 56 25 1.99890650776266 1.13485512002087
"349" "AB" 2 1 56 25 2.52244669306345 1.18377247646976
"350" "AB" 2 1 56 25 3.11800449011332 1.23941885063961
"351" "AB" 2 1 56 26 0.316797914224418 0.936782202486721
"352" "AB" 2 1 56 26 0.397887357729738 0.950610138560023
"353" "AB" 2 1 56 26 0.50213384545493 0.968386974925111
"354" "AB" 2 1 56 26 0.630611673265862 0.998916189855749
"355" "AB" 2 1 56 26 0.633595828448835 0.999625292091673
"356" "AB" 2 1 56 26 0.795774715459477 1.03816263494001
"357" "AB" 2 1 56 26 0.99945325388133 1.0638045057656
"358" "AB" 2 1 56 26 1.00426769090986 1.06441061367143
"359" "AB" 2 1 56 26 1.26122334653172 1.09675974471102
"360" "AB" 2 1 56 26 1.55900224505666 1.12524436157434
"361" "AB" 2 1 56 26 1.59154943091895 1.12835772563022
"362" "AB" 2 1 56 26 1.99890650776266 1.16732425521956
"363" "AB" 2 1 56 26 2.52244669306345 1.18089470949279
"364" "AB" 2 1 56 26 3.11800449011332 1.19633190052196
"365" "AB" 2 1 56 27 0.316797914224418 0.94179274069961
"366" "AB" 2 1 56 27 0.397887357729738 0.964074137704215
"367" "AB" 2 1 56 27 0.50213384545493 0.992718524432413
"368" "AB" 2 1 56 27 0.630611673265862 1.01769868311456
"369" "AB" 2 1 56 27 0.633595828448835 1.01827889739178
"370" "AB" 2 1 56 27 0.795774715459477 1.04981160931139
"371" "AB" 2 1 56 27 0.99945325388133 1.07528454599149
"372" "AB" 2 1 56 27 1.00426769090986 1.0758866607284
"373" "AB" 2 1 56 27 1.26122334653172 1.10802266875342
"374" "AB" 2 1 56 27 1.55900224505666 1.11747817554723
"375" "AB" 2 1 56 27 1.59154943091895 1.11851166092368
"376" "AB" 2 1 56 27 1.99890650776266 1.13144665271351
"377" "AB" 2 1 56 27 2.52244669306345 1.17715486799394
"378" "AB" 2 1 56 27 3.11800449011332 1.22915065506778
"379" "AB" 2 1 56 28 0.316797914224418 0.921710063617801
"380" "AB" 2 1 56 28 0.397887357729738 0.944488073460183
"381" "AB" 2 1 56 28 0.50213384545493 0.973770892786503
"382" "AB" 2 1 56 28 0.630611673265862 1.00578607922144
"383" "AB" 2 1 56 28 0.633595828448835 1.00652969612532
"384" "AB" 2 1 56 28 0.795774715459477 1.04694279612804
"385" "AB" 2 1 56 28 0.99945325388133 1.08795666464226
"386" "AB" 2 1 56 28 1.00426769090986 1.08892612705489
"387" "AB" 2 1 56 28 1.26122334653172 1.14066817879641
"388" "AB" 2 1 56 28 1.55900224505666 1.15154149871841
"389" "AB" 2 1 56 28 1.59154943091895 1.15272995084243
"390" "AB" 2 1 56 28 1.99890650776266 1.16760448977368
"391" "AB" 2 1 56 28 2.52244669306345 1.1864978899151
"392" "AB" 2 1 56 28 3.11800449011332 1.20799024538833
"393" "AB" 2 1 56 29 0.316797914224418 0.925527952611194
"394" "AB" 2 1 56 29 0.397887357729738 0.947751880237554
"395" "AB" 2 1 56 29 0.50213384545493 0.976322385821982
"396" "AB" 2 1 56 29 0.630611673265862 1.00216290708791
"397" "AB" 2 1 56 29 0.633595828448835 1.0027631050114
"398" "AB" 2 1 56 29 0.795774715459477 1.03538186149326
"399" "AB" 2 1 56 29 0.99945325388133 1.06304528184303
"400" "AB" 2 1 56 29 1.00426769090986 1.06369917398257
"401" "AB" 2 1 56 29 1.26122334653172 1.09859864040546
"402" "AB" 2 1 56 29 1.55900224505666 1.11652920857997
"403" "AB" 2 1 56 29 1.59154943091895 1.11848901680642
"404" "AB" 2 1 56 29 1.99890650776266 1.14301776573354
"405" "AB" 2 1 56 29 2.52244669306345 1.18159354006517
"406" "AB" 2 1 56 29 3.11800449011332 1.22547575546234
"407" "AB" 2 1 56 30 0.316797914224418 0.951932709516819
"408" "AB" 2 1 56 30 0.397887357729738 0.956151667160301
"409" "AB" 2 1 56 30 0.50213384545493 0.961575449803051
"410" "AB" 2 1 56 30 0.630611673265862 0.993401356224039
"411" "AB" 2 1 56 30 0.633595828448835 0.994140576720036
"412" "AB" 2 1 56 30 0.795774715459477 1.03431474660915
"413" "AB" 2 1 56 30 0.99945325388133 1.07839496191018
"414" "AB" 2 1 56 30 1.00426769090986 1.07943690487784
