"subject" "radius" "number" "durationTest" "speedMatch" "pse"
"146" "AD" 4 1 112 6.54211143092642 0.992751044206964
"147" "AD" 4 1 112 10.9441230559268 0.829490220286423
"148" "AD" 4 1 112 12.5850580011662 0.855209438651057
"149" "AD" 4 1 112 21.7042552225016 0.93105083428748
"150" "AD" 4 1 112 30.9498493296375 1.03584752047812
"151" "AD" 4 2 56 6.18968998899636 1.10816345181181
"152" "AD" 4 2 56 9.83001827909247 1.05974055380043
"153" "AD" 4 2 56 13.1570635459449 1.04482617275452
"154" "AD" 4 2 56 19.0310357475796 1.03873182247264
"155" "AD" 4 2 56 26.5522810575907 1.05245300723991
"156" "AD" 4 2 56 5.66541125646452 1.11990087563105
"157" "AD" 4 2 56 8.34885492331197 1.06638026949635
"158" "AD" 4 2 56 7.95121465293476 1.06872686919697
"159" "AD" 4 2 56 14.7304958999504 1.03777283629667
"160" "AD" 4 2 56 21.9397672931848 1.03938044646885
"161" "AD" 4 2 56 40.2655481919691 1.09131847781418
